Variables,Values
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,1
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,1
Training,0
Training,0
Training,28
Training,0
Training,0
Training,0
Training,3
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Training,0
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,30
Decision making,31
Decision making,28
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,25
Decision making,30
Decision making,30
Decision making,31
Decision making,32
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,32
Decision making,31
Decision making,31
Decision making,30
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,33
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,29
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,30
Decision making,32
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,31
Decision making,32
Decision making,31
Decision making,31
Decision making,28
Decision making,29
Decision making,32
Decision making,30
Decision making,32
Decision making,31
Decision making,32
Decision making,31
Decision making,33
Decision making,32
Decision making,31
Decision making,32
Decision making,32
Decision making,33
Decision making,33
Decision making,31
Decision making,30
Decision making,32
Decision making,31
Decision making,30
Decision making,31
Decision making,30
Decision making,32
Decision making,33
Decision making,33
Decision making,29
Decision making,28
Decision making,32
Decision making,30
Decision making,32
Decision making,32
Decision making,27
Decision making,30
Decision making,30
Decision making,29
Decision making,25
Decision making,27
Decision making,28
Decision making,31
Decision making,28
Decision making,28
Decision making,29
Decision making,30
Decision making,28
Decision making,31
Decision making,27
Decision making,28
Decision making,27
Decision making,25
Decision making,27
Decision making,32
Decision making,30
Decision making,32
Decision making,30
Decision making,27
Decision making,29
Decision making,31
Decision making,27
Decision making,32
Decision making,30
Decision making,32
Decision making,28
Decision making,28
Decision making,27
Decision making,26
Decision making,25
Decision making,36
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,23
Decision making,27
Decision making,25
Decision making,28
Decision making,27
Decision making,28
Decision making,30
Decision making,29
Decision making,28
Decision making,27
Decision making,29
Decision making,28
Decision making,30
Decision making,30
Decision making,29
Decision making,30
Decision making,27
Decision making,28
Decision making,26
Decision making,27
Decision making,29
Decision making,28
Decision making,26
Decision making,26
Decision making,26
Decision making,28
Decision making,28
Decision making,28
Decision making,26
Decision making,25
Decision making,28
Decision making,27
Decision making,25
Decision making,28
Decision making,29
Decision making,26
Decision making,28
Decision making,26
Decision making,26
Decision making,28
Decision making,26
Decision making,28
Decision making,28
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,26
Decision making,27
Decision making,38
Decision making,26
Decision making,33
Decision making,37
Decision making,31
Decision making,36
Decision making,32
Decision making,33
Decision making,33
Decision making,30
Decision making,28
Decision making,29
Decision making,34
Decision making,29
Decision making,31
Decision making,30
Decision making,29
Decision making,30
Decision making,32
Decision making,27
Decision making,28
Decision making,33
Decision making,28
Decision making,32
Decision making,33
Decision making,30
Decision making,30
Decision making,38
Decision making,32
Decision making,28
Decision making,30
Decision making,29
Decision making,35
Decision making,36
Decision making,29
Decision making,34
Decision making,31
Decision making,27
Decision making,27
Decision making,33
Decision making,33
Decision making,28
Decision making,30
Decision making,28
Decision making,24
Decision making,30
Decision making,30
Decision making,35
Decision making,28
Decision making,33
Decision making,32
Decision making,32
Decision making,33
Decision making,17
Decision making,32
Decision making,31
Decision making,28
Decision making,28
Decision making,31
Decision making,37
Decision making,31
Decision making,30
Decision making,30
Decision making,33
Decision making,36
Decision making,27
Decision making,28
Decision making,32
Decision making,25
Decision making,24
Decision making,25
Decision making,27
Decision making,27
Decision making,30
Decision making,29
Decision making,30
Decision making,29
Decision making,27
Decision making,25
Decision making,28
Decision making,27
Decision making,27
Decision making,28
Decision making,26
Decision making,33
Decision making,27
Decision making,25
Decision making,30
Decision making,28
Decision making,29
Decision making,25
Decision making,29
Decision making,27
Decision making,27
Decision making,28
Decision making,27
Decision making,32
Decision making,33
Decision making,35
Decision making,28
Decision making,26
Decision making,40
Decision making,31
Decision making,32
Decision making,32
Decision making,30
Decision making,32
Decision making,33
Decision making,29
Decision making,31
Decision making,33
Decision making,31
Decision making,34
Decision making,35
Decision making,32
Decision making,35
Decision making,35
Decision making,35
Decision making,32
Decision making,32
Decision making,37
Decision making,33
Decision making,32
Decision making,33
Decision making,33
Decision making,16
Decision making,21
Decision making,26
Decision making,23
Decision making,24
Decision making,25
Decision making,18
Decision making,35
Decision making,22
Decision making,22
Decision making,23
Decision making,21
Decision making,25
Decision making,23
Decision making,25
Decision making,13
Decision making,27
Decision making,25
Decision making,34
Decision making,23
Decision making,33
Decision making,31
Decision making,27
Decision making,29
Decision making,26
Decision making,28
Decision making,33
Decision making,33
Decision making,34
Decision making,30
Decision making,40
Decision making,35
Decision making,31
Decision making,34
Decision making,40
Decision making,33
Decision making,40
Decision making,40
Decision making,36
Decision making,36
Decision making,28
Decision making,31
Decision making,29
Decision making,37
Decision making,33
Decision making,40
Decision making,33
Decision making,32
Decision making,31
Decision making,31
Decision making,36
Decision making,34
Decision making,33
Decision making,28
Decision making,33
Decision making,37
Decision making,32
Farmers satisfaction,43
Farmers satisfaction,40
Farmers satisfaction,39
Farmers satisfaction,41
Farmers satisfaction,40
Farmers satisfaction,41
Farmers satisfaction,43
Farmers satisfaction,42
Farmers satisfaction,40
Farmers satisfaction,42
Farmers satisfaction,45
Farmers satisfaction,38
Farmers satisfaction,43
Farmers satisfaction,39
Farmers satisfaction,41
Farmers satisfaction,40
Farmers satisfaction,40
Farmers satisfaction,41
Farmers satisfaction,45
Farmers satisfaction,37
Farmers satisfaction,41
Farmers satisfaction,44
Farmers satisfaction,41
Farmers satisfaction,42
Farmers satisfaction,42
Farmers satisfaction,41
Farmers satisfaction,41
Farmers satisfaction,42
Farmers satisfaction,42
Farmers satisfaction,41
Farmers satisfaction,40
Farmers satisfaction,40
Farmers satisfaction,39
Farmers satisfaction,42
Farmers satisfaction,40
Farmers satisfaction,35
Farmers satisfaction,30
Farmers satisfaction,32
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,33
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,37
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,32
Farmers satisfaction,33
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,32
Farmers satisfaction,31
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,33
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,33
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,34
Farmers satisfaction,30
Farmers satisfaction,28
Farmers satisfaction,30
Farmers satisfaction,36
Farmers satisfaction,38
Farmers satisfaction,38
Farmers satisfaction,38
Farmers satisfaction,42
Farmers satisfaction,34
Farmers satisfaction,38
Farmers satisfaction,29
Farmers satisfaction,32
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,35
Farmers satisfaction,30
Farmers satisfaction,33
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,30
Farmers satisfaction,29
Farmers satisfaction,30
Farmers satisfaction,34
Farmers satisfaction,36
Farmers satisfaction,32
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,36
Farmers satisfaction,37
Farmers satisfaction,39
Farmers satisfaction,36
Farmers satisfaction,37
Farmers satisfaction,38
Farmers satisfaction,35
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,39
Farmers satisfaction,36
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,32
Farmers satisfaction,40
Farmers satisfaction,31
Farmers satisfaction,28
Farmers satisfaction,32
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,30
Farmers satisfaction,37
Farmers satisfaction,36
Farmers satisfaction,35
Farmers satisfaction,38
Farmers satisfaction,30
Farmers satisfaction,32
Farmers satisfaction,33
Farmers satisfaction,28
Farmers satisfaction,28
Farmers satisfaction,22
Farmers satisfaction,22
Farmers satisfaction,35
Farmers satisfaction,22
Farmers satisfaction,22
Farmers satisfaction,35
Farmers satisfaction,22
Farmers satisfaction,22
Farmers satisfaction,22
Farmers satisfaction,22
Farmers satisfaction,35
Farmers satisfaction,22
Farmers satisfaction,31
Farmers satisfaction,31
Farmers satisfaction,32
Farmers satisfaction,30
Farmers satisfaction,33
Farmers satisfaction,32
Farmers satisfaction,21
Farmers satisfaction,24
Farmers satisfaction,33
Farmers satisfaction,22
Farmers satisfaction,35
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,33
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,28
Farmers satisfaction,29
Farmers satisfaction,33
Farmers satisfaction,30
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,29
Farmers satisfaction,32
Farmers satisfaction,32
Farmers satisfaction,31
Farmers satisfaction,29
Farmers satisfaction,31
Farmers satisfaction,27
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,27
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,28
Farmers satisfaction,29
Farmers satisfaction,29
Farmers satisfaction,31
Farmers satisfaction,44
Farmers satisfaction,36
Farmers satisfaction,34
Farmers satisfaction,44
Farmers satisfaction,36
Farmers satisfaction,34
Farmers satisfaction,38
Farmers satisfaction,30
Farmers satisfaction,35
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,36
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,32
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,36
Farmers satisfaction,37
Farmers satisfaction,31
Farmers satisfaction,32
Farmers satisfaction,33
Farmers satisfaction,32
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,31
Farmers satisfaction,35
Farmers satisfaction,28
Farmers satisfaction,30
Farmers satisfaction,33
Farmers satisfaction,36
Farmers satisfaction,36
Farmers satisfaction,26
Farmers satisfaction,30
Farmers satisfaction,27
Farmers satisfaction,26
Farmers satisfaction,26
Farmers satisfaction,26
Farmers satisfaction,26
Farmers satisfaction,45
Farmers satisfaction,29
Farmers satisfaction,25
Farmers satisfaction,25
Farmers satisfaction,25
Farmers satisfaction,27
Farmers satisfaction,28
Farmers satisfaction,19
Farmers satisfaction,27
Farmers satisfaction,24
Farmers satisfaction,23
Farmers satisfaction,24
Farmers satisfaction,20
Farmers satisfaction,27
Farmers satisfaction,28
Farmers satisfaction,27
Farmers satisfaction,23
Farmers satisfaction,25
Farmers satisfaction,29
Farmers satisfaction,28
Farmers satisfaction,25
Farmers satisfaction,26
Farmers satisfaction,26
Farmers satisfaction,34
Farmers satisfaction,33
Farmers satisfaction,33
Farmers satisfaction,33
Farmers satisfaction,34
Farmers satisfaction,33
Farmers satisfaction,37
Farmers satisfaction,34
Farmers satisfaction,37
Farmers satisfaction,34
Farmers satisfaction,36
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,37
Farmers satisfaction,36
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,32
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,34
Farmers satisfaction,37
Farmers satisfaction,32
Farmers satisfaction,32
Farmers satisfaction,32
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,34
Farmers satisfaction,40
Farmers satisfaction,37
Farmers satisfaction,39
Farmers satisfaction,43
Farmers satisfaction,37
Farmers satisfaction,37
Farmers satisfaction,37
Farmers satisfaction,45
Farmers satisfaction,44
Farmers satisfaction,43
Farmers satisfaction,42
Farmers satisfaction,41
Farmers satisfaction,38
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,41
Farmers satisfaction,40
Farmers satisfaction,38
Farmers satisfaction,38
Farmers satisfaction,36
Farmers satisfaction,39
Farmers satisfaction,38
Farmers satisfaction,34
Farmers satisfaction,41
Farmers satisfaction,36
Farmers satisfaction,36
Farmers satisfaction,38
Farmers satisfaction,38
Farmers satisfaction,36
Farmers satisfaction,29
Farmers satisfaction,27
Farmers satisfaction,31
Farmers satisfaction,26
Farmers satisfaction,28
Farmers satisfaction,28
Farmers satisfaction,30
Farmers satisfaction,34
Farmers satisfaction,31
Farmers satisfaction,30
Farmers satisfaction,42
Farmers satisfaction,26
Farmers satisfaction,28
Farmers satisfaction,31
Farmers satisfaction,35
Farmers satisfaction,32
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,28
Farmers satisfaction,34
Farmers satisfaction,31
Farmers satisfaction,30
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,33
Farmers satisfaction,30
Farmers satisfaction,33
Farmers satisfaction,34
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,33
Farmers satisfaction,34
Farmers satisfaction,32
Farmers satisfaction,37
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,33
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,33
Farmers satisfaction,30
Farmers satisfaction,31
Farmers satisfaction,34
Farmers satisfaction,35
Farmers satisfaction,32
Farmers satisfaction,30
Farmers satisfaction,33
Farmers satisfaction,32
Farmers satisfaction,33
Farmers satisfaction,33
Farmers satisfaction,35
Farmers satisfaction,34
Farmers satisfaction,32
Farmers satisfaction,30
Farmers satisfaction,30
Farmers satisfaction,32
Farmers satisfaction,30
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,40
Farmers knowledge,39
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,38
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,38
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,38
Farmers knowledge,40
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,39
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,36
Farmers knowledge,36
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,35
Farmers knowledge,30
Farmers knowledge,32
Farmers knowledge,26
Farmers knowledge,22
Farmers knowledge,22
Farmers knowledge,25
Farmers knowledge,28
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,24
Farmers knowledge,26
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,38
Farmers knowledge,28
Farmers knowledge,26
Farmers knowledge,24
Farmers knowledge,26
Farmers knowledge,24
Farmers knowledge,26
Farmers knowledge,26
Farmers knowledge,34
Farmers knowledge,14
Farmers knowledge,28
Farmers knowledge,26
Farmers knowledge,26
Farmers knowledge,20
Farmers knowledge,28
Farmers knowledge,26
Farmers knowledge,26
Farmers knowledge,28
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,28
Farmers knowledge,34
Farmers knowledge,22
Farmers knowledge,22
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,22
Farmers knowledge,32
Farmers knowledge,28
Farmers knowledge,22
Farmers knowledge,28
Farmers knowledge,38
Farmers knowledge,24
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,28
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,23
Farmers knowledge,22
Farmers knowledge,26
Farmers knowledge,22
Farmers knowledge,30
Farmers knowledge,32
Farmers knowledge,40
Farmers knowledge,35
Farmers knowledge,19
Farmers knowledge,22
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,24
Farmers knowledge,34
Farmers knowledge,20
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,40
Farmers knowledge,34
Farmers knowledge,20
Farmers knowledge,36
Farmers knowledge,16
Farmers knowledge,18
Farmers knowledge,22
Farmers knowledge,38
Farmers knowledge,18
Farmers knowledge,26
Farmers knowledge,26
Farmers knowledge,22
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,28
Farmers knowledge,36
Farmers knowledge,28
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,26
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,23
Farmers knowledge,26
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,22
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,30
Farmers knowledge,26
Farmers knowledge,20
Farmers knowledge,26
Farmers knowledge,26
Farmers knowledge,22
Farmers knowledge,40
Farmers knowledge,36
Farmers knowledge,30
Farmers knowledge,38
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,24
Farmers knowledge,18
Farmers knowledge,34
Farmers knowledge,22
Farmers knowledge,30
Farmers knowledge,24
Farmers knowledge,22
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,28
Farmers knowledge,30
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,30
Farmers knowledge,28
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,26
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,30
Farmers knowledge,30
Farmers knowledge,24
Farmers knowledge,24
Farmers knowledge,36
Farmers knowledge,36
Farmers knowledge,36
Farmers knowledge,20
Farmers knowledge,38
Farmers knowledge,24
Farmers knowledge,30
Farmers knowledge,38
Farmers knowledge,18
Farmers knowledge,26
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,28
Farmers knowledge,34
Farmers knowledge,26
Farmers knowledge,24
Farmers knowledge,26
Farmers knowledge,22
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,24
Farmers knowledge,20
Farmers knowledge,26
Farmers knowledge,30
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,28
Farmers knowledge,34
Farmers knowledge,34
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,26
Farmers knowledge,26
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,25
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,29
Farmers knowledge,30
Farmers knowledge,30
Farmers knowledge,32
Farmers knowledge,28
Farmers knowledge,32
Farmers knowledge,36
Farmers knowledge,35
Farmers knowledge,28
Farmers knowledge,22
Farmers knowledge,22
Farmers knowledge,34
Farmers knowledge,30
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,38
Farmers knowledge,33
Farmers knowledge,32
Farmers knowledge,28
Farmers knowledge,32
Farmers knowledge,36
Farmers knowledge,32
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,36
Farmers knowledge,38
Farmers knowledge,32
Farmers knowledge,33
Farmers knowledge,32
Farmers knowledge,38
Farmers knowledge,36
Farmers knowledge,34
Farmers knowledge,38
Farmers knowledge,34
Farmers knowledge,38
Farmers knowledge,32
Farmers knowledge,32
Farmers knowledge,26
Farmers knowledge,32
Farmers knowledge,25
Farmers knowledge,32
Farmers knowledge,28
Farmers knowledge,18
Farmers knowledge,28
Farmers knowledge,32
Farmers knowledge,22
Farmers knowledge,24
Farmers knowledge,20
Farmers knowledge,22
Farmers knowledge,27
Farmers knowledge,24
Farmers knowledge,34
Farmers knowledge,22
Farmers knowledge,18
Farmers knowledge,15
Farmers knowledge,26
Farmers knowledge,28
Farmers knowledge,28
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,22
Farmers knowledge,28
Farmers knowledge,26
Farmers knowledge,24
Farmers knowledge,30
Farmers knowledge,32
Farmers knowledge,30
Farmers knowledge,28
Farmers knowledge,30
Farmers knowledge,28
Farmers knowledge,26
Farmers knowledge,32
Farmers knowledge,22
Farmers knowledge,24
Farmers knowledge,30
Farmers knowledge,34
Farmers knowledge,28
Farmers knowledge,26
Farmers knowledge,28
Farmers knowledge,22
Farmers knowledge,35
Farmers knowledge,36
Farmers knowledge,16
Farmers knowledge,36
Farmers knowledge,28
Farmers knowledge,20
Farmers knowledge,22
Farmers knowledge,20
Farmers knowledge,28
Farmers knowledge,20
Farmers knowledge,22
Farmers knowledge,16
Farmers knowledge,38
Farmers knowledge,18
Farmers knowledge,32
Farmers knowledge,18
Farmers knowledge,40
Farmers knowledge,30
Farmers knowledge,28
Problem faced farmers,11
Problem faced farmers,6
Problem faced farmers,11
Problem faced farmers,4
Problem faced farmers,4
Problem faced farmers,5
Problem faced farmers,4
Problem faced farmers,5
Problem faced farmers,5
Problem faced farmers,4
Problem faced farmers,8
Problem faced farmers,4
Problem faced farmers,10
Problem faced farmers,8
Problem faced farmers,5
Problem faced farmers,12
Problem faced farmers,8
Problem faced farmers,5
Problem faced farmers,8
Problem faced farmers,15
Problem faced farmers,6
Problem faced farmers,8
Problem faced farmers,8
Problem faced farmers,7
Problem faced farmers,9
Problem faced farmers,8
Problem faced farmers,11
Problem faced farmers,6
Problem faced farmers,8
Problem faced farmers,5
Problem faced farmers,6
Problem faced farmers,9
Problem faced farmers,5
Problem faced farmers,8
Problem faced farmers,4
Problem faced farmers,31
Problem faced farmers,40
Problem faced farmers,44
Problem faced farmers,43
Problem faced farmers,45
Problem faced farmers,28
Problem faced farmers,34
Problem faced farmers,31
Problem faced farmers,23
Problem faced farmers,40
Problem faced farmers,28
Problem faced farmers,24
Problem faced farmers,31
Problem faced farmers,29
Problem faced farmers,27
Problem faced farmers,29
Problem faced farmers,35
Problem faced farmers,33
Problem faced farmers,32
Problem faced farmers,39
Problem faced farmers,28
Problem faced farmers,37
Problem faced farmers,27
Problem faced farmers,32
Problem faced farmers,27
Problem faced farmers,33
Problem faced farmers,29
Problem faced farmers,15
Problem faced farmers,35
Problem faced farmers,35
Problem faced farmers,40
Problem faced farmers,31
Problem faced farmers,26
Problem faced farmers,26
Problem faced farmers,30
Problem faced farmers,41
Problem faced farmers,36
Problem faced farmers,42
Problem faced farmers,40
Problem faced farmers,44
Problem faced farmers,44
Problem faced farmers,48
Problem faced farmers,48
Problem faced farmers,27
Problem faced farmers,41
Problem faced farmers,33
Problem faced farmers,44
Problem faced farmers,50
Problem faced farmers,27
Problem faced farmers,22
Problem faced farmers,29
Problem faced farmers,23
Problem faced farmers,28
Problem faced farmers,27
Problem faced farmers,29
Problem faced farmers,27
Problem faced farmers,33
Problem faced farmers,38
Problem faced farmers,42
Problem faced farmers,36
Problem faced farmers,65
Problem faced farmers,67
Problem faced farmers,68
Problem faced farmers,60
Problem faced farmers,71
Problem faced farmers,68
Problem faced farmers,70
Problem faced farmers,59
Problem faced farmers,60
Problem faced farmers,69
Problem faced farmers,61
Problem faced farmers,75
Problem faced farmers,66
Problem faced farmers,72
Problem faced farmers,68
Problem faced farmers,67
Problem faced farmers,72
Problem faced farmers,73
Problem faced farmers,73
Problem faced farmers,67
Problem faced farmers,57
Problem faced farmers,72
Problem faced farmers,72
Problem faced farmers,72
Problem faced farmers,66
Problem faced farmers,62
Problem faced farmers,73
Problem faced farmers,71
Problem faced farmers,72
Problem faced farmers,68
Problem faced farmers,59
Problem faced farmers,55
Problem faced farmers,60
Problem faced farmers,42
Problem faced farmers,39
Problem faced farmers,37
Problem faced farmers,43
Problem faced farmers,39
Problem faced farmers,45
Problem faced farmers,37
Problem faced farmers,43
Problem faced farmers,43
Problem faced farmers,43
Problem faced farmers,35
Problem faced farmers,43
Problem faced farmers,54
Problem faced farmers,63
Problem faced farmers,55
Problem faced farmers,51
Problem faced farmers,58
Problem faced farmers,56
Problem faced farmers,56
Problem faced farmers,54
Problem faced farmers,0
Problem faced farmers,55
Problem faced farmers,59
Problem faced farmers,50
Problem faced farmers,59
Problem faced farmers,55
Problem faced farmers,46
Problem faced farmers,53
Problem faced farmers,62
Problem faced farmers,69
Problem faced farmers,66
Problem faced farmers,60
Problem faced farmers,53
Problem faced farmers,70
Problem faced farmers,61
Problem faced farmers,58
Problem faced farmers,64
Problem faced farmers,65
Problem faced farmers,62
Problem faced farmers,63
Problem faced farmers,63
Problem faced farmers,70
Problem faced farmers,55
